"","addr","code","lat","lng","name","type","created_at","remain_stat","stock_at","remain_stat_kr","구분","시도","시군구","동"
"474","서울특별시 강남구 삼성로 772 105호 (청담동, 로데오프라자)","12800643",37.5236212,127.0480449,"청담메디웰약국","01","2020/03/14 23:55:00","empty","2020/03/14 13:29:00","1개 이하","약국","서울특별시","강남구","청담동"
"475","충청남도 논산시 시민로 187 홈플러스 논산점 지하1층 (내동)","34841598",36.1835913,127.0983414,"논산홈플러스약국","01","2020/03/14 23:55:00","empty","2020/03/14 10:07:00","1개 이하","약국","충청남도","논산시","내동"
"476","경기도 성남시 분당구 돌마로 79 1층 107호 (금곡동, 썬프라자)","41819136",37.3503982,127.1107975,"청솔약국","01","2020/03/14 23:55:00","empty","2020/03/14 13:57:00","1개 이하","약국","경기도","성남시 분당구","금곡동"
"477","경기도 안산시 상록구 석호로 320 1층 (본오동)","41837550",37.293242,126.8660288,"본약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:22:00","1개 이하","약국","경기도","안산시 상록구","본오동"
"478","강원도 홍천군 홍천읍 산림공원1길 15","32802790",37.6913787,127.8949012,"홍천종합약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:34:00","1개 이하","약국","강원도","홍천군","홍천읍"
"479","대전광역시 서구 문정로 96 타워렉스 102일부호 (탄방동)","34824383",36.3464618,127.3898963,"현규약국","01","2020/03/14 23:55:00","some","2020/03/14 10:25:00","30개 이상 100개 미만","약국","대전광역시","서구","탄방동"
"480","대전광역시 서구 문정로 96 타워렉스 102일부호 (탄방동)","34824383",36.3464618,127.3898963,"현규약국","01","2020/03/14 23:55:00","some","2020/03/14 10:25:00","30개 이상 100개 미만","약국","대전광역시","서구","탄방동"
"481","광주광역시 서구 화정로244번길 1 (화정동)","36803782",35.1470254,126.8839394,"김약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:25:00","1개 이하","약국","광주광역시","서구","화정동"
"482","강원도 춘천시 영서로 2341 (온의동)","32815573",37.8683062,127.7158727,"수온누리약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:33:00","1개 이하","약국","강원도","춘천시","온의동"
"483","인천광역시 계양구 경명대로 1049 2층 (계산동)","41847296",37.5438404,126.7234273,"이화약국","01","2020/03/14 23:55:00","empty","2020/03/14 10:00:00","1개 이하","약국","인천광역시","계양구","계산동"
"484","경기도 김포시 사우중로 17 (사우동)","31884377",37.6171315,126.716924,"대웅약국","01","2020/03/14 23:55:00","empty","2020/03/13 18:11:00","1개 이하","약국","경기도","김포시","사우동"
"485","서울특별시 마포구 백범로 212 2층 (신공덕동, 대우 월드마크마포)","12865303",37.5424867,126.9535163,"신공덕약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:57:00","1개 이하","약국","서울특별시","마포구","신공덕동"
"486","전라북도 전주시 덕진구 안덕원로 53 (진북동)","35801531",35.8282232,127.1361009,"평화약국","01","2020/03/14 23:55:00","few","2020/03/14 08:31:00","2개 이상 30개 미만","약국","전라북도","전주시 덕진구","진북동"
"487","인천광역시 미추홀구 독배로 429 (용현동)","41821424",37.4577565,126.6491131,"조은약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:08:00","1개 이하","약국","인천광역시","미추홀구","용현동"
"488","경기도 광명시 광명로 841 3층 (광명동)","31891331",37.4743331,126.8516861,"3층약국","01","2020/03/14 23:55:00","empty","2020/03/14 13:04:00","1개 이하","약국","경기도","광명시","광명동"
"489","울산광역시 남구 삼산로 209 (달동)","38836556",35.5382593,129.3300357,"조아약국","01","2020/03/14 23:55:00","empty","2020/03/14 08:24:00","1개 이하","약국","울산광역시","남구","달동"
"490","전북 김제시 금구면 금구리479","4038210135",35.7729485,127.0102038,"동김제농협하나로마트","03","2020/03/14 23:55:00","empty","2020/03/14 13:05:00","1개 이하","농협","전라북도","김제시","금구면"
"491","경기도 화성시 동탄솔빛로 44 (반송동)","31803652",37.1928934,127.0729473,"푸른약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:41:00","1개 이하","약국","경기도","화성시","반송동"
"492","경기도 고양시 덕양구 행신로143번길 72-1, 1층 (행신동)","31839525",37.6226513,126.8313787,"이조약국","01","2020/03/14 23:55:00","break","2020/03/14 09:29:00","2개 이상 30개 미만","약국","경기도","고양시 덕양구","행신동"
"493","서울특별시 관악구 신림로 383 1층 (신림동)","11811447",37.4882852,126.9282074,"제정약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:27:00","1개 이하","약국","서울특별시","관악구","신림동"
"494","서울특별시 동대문구 왕산로 171 (제기동)","11894261",37.5795011,127.0421254,"세광약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:39:00","1개 이하","약국","서울특별시","동대문구","제기동"
"495","서울특별시 중구 장충단로 201 1층 (장충동1가)","12842168",37.5627919,127.0065029,"미소약국","01","2020/03/14 23:55:00","break","2020/03/14 11:52:00","2개 이상 30개 미만","약국","서울특별시","중구","장충동1가"
"496","충청남도 홍성군 홍북읍 청사로48번길 4 102,103호","34834770",36.6486404,126.6752652,"내포우리약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:46:00","1개 이하","약국","충청남도","홍성군","홍북읍"
"497","대구광역시 달서구 이곡공원로 32 B동 1층 (이곡동)","37842943",35.8549529,128.5109883,"제일약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:18:00","1개 이하","약국","대구광역시","달서구","이곡동"
"498","충청남도 공주시 산성시장5길 45 (산성동)","34842632",36.4593645,127.1237602,"삼성약국","01","2020/03/14 23:55:00","break","2020/03/14 08:06:00","2개 이상 30개 미만","약국","충청남도","공주시","산성동"
